market_hash_name,mean_price_usd,volatility,spike_count,risk_score_LogReg,safe_price_usd_LogReg
MAG-7 | Storm (Minimal Wear),0.7133333333333334,,52,0.9999999987316786,0.535000000226184
Sealed Graffiti | Smarmy (Shark White),0.6846153846153846,,52,0.9999999987254791,0.5134615386796776
Souvenir Galil AR | Hunting Blind (Battle-Scarred),0.4563758389261745,,52,0.9999999987062362,0.3422818793422415
Souvenir XM1014 | Ancient Lore (Field-Tested),0.4933333333333333,,52,0.9999999986953332,0.37000000016090884
MP5-SD | Acid Wash (Field-Tested),0.42,,51,0.999999997990805,0.31500000021096547
StatTrak™ MAG-7 | Heat (Well-Worn),0.6133333333333333,,51,0.999999997974891,0.4600000003105167
AK-47 | Elite Build (Well-Worn),0.3733333333333333,,51,0.9999999979651737,0.2800000001899171
P250 | Contaminant (Field-Tested),0.26,,51,0.9999999979369387,0.195000000134099
MP7 | Abyssal Apparition (Field-Tested),0.7,,50,0.9999999967979771,0.5250000005603539
Sticker | exit (Holo) | Austin 2025,0.7114093959731543,,50,0.9999999967595075,0.5335570475561949
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested),0.2466666666666666,,50,0.999999996756813,0.1850000001999965
Souvenir M4A4 | Mainframe (Minimal Wear),0.2133333333333333,,50,0.9999999966503597,0.16000000017864746
StatTrak™ Glock-18 | Moonrise (Battle-Scarred),0.6933333333333334,,49,0.9999999949255711,0.5200000008795677
StatTrak™ Galil AR | Rocket Pop (Well-Worn),0.7733333333333333,,49,0.9999999948988343,0.5800000009862254
Sticker | snow (Holo) | Austin 2025,0.2533333333333333,,49,0.9999999948952416,0.19000000032330133
CZ75-Auto | Crimson Web (Well-Worn),1.0069444444444444,,49,0.9999999948890832,0.7552083346199356
StatTrak™ XM1014 | Quicksilver (Minimal Wear),0.3,,49,0.999999994885981,0.22500000038355142
StatTrak™ Glock-18 | Weasel (Field-Tested),0.4933333333333333,,49,0.999999994881724,0.370000000631254
StatTrak™ MP5-SD | Agent (Well-Worn),0.7006802721088435,,49,0.999999994881271,0.5255102049782807
Sticker | latto (Holo) | Austin 2025,0.9507042253521126,,49,0.9999999948567597,0.7130281702365096
StatTrak™ R8 Revolver | Memento (Field-Tested),0.3933333333333333,,49,0.9999999948547733,0.29500000050594727
StatTrak™ M4A4 | Magnesium (Field-Tested),0.6533333333333333,,49,0.9999999948505831,0.4900000008410714
StatTrak™ Zeus x27 | Tosai (Well-Worn),0.5133333333333333,,49,0.999999994846489,0.3850000006613672
UMP-45 | Scorched (Minimal Wear),0.3450704225352112,,49,0.9999999947389664,0.25880281735526517
Sticker | headtr1ck (Holo) | Austin 2025,0.3851351351351351,,48,0.9999999919903569,0.2888513521225501
StatTrak™ Dual Berettas | Ventilators (Factory New),0.3666666666666666,,48,0.9999999919448038,0.2750000007383929
Sticker | zorte (Holo) | Austin 2025,0.3525179856115107,,48,0.999999991923788,0.26438848992038555
Sticker | Ax1Le (Holo) | Austin 2025,0.6808510638297872,,48,0.9999999919023917,0.5106382992506567
PP-Bizon | Lumen (Field-Tested),0.2866666666666667,,48,0.999999991889131,0.21500000058127894
Souvenir Charm | Austin 2025 Highlight | Not Over Yet,0.2314814814814814,,48,0.9999999918354544,0.17361111158359632
Sticker | Fowl Play (Holo),0.7210884353741497,,48,0.9999999918282868,0.5408163280037442
